params,aic,bic,mae_validacao,bic_norm,mae_norm,criterio,valor,base,modelo
"{'n_estimators': 600, 'max_depth': 12, 'max_features': 0.5, 'min_samples_split': 5, 'min_samples_leaf': 1}",,,,,,MAE validacao,4125.011916606533,sales_profit,Random Forest
"{'n_estimators': 300, 'max_depth': 6, 'max_features': 0.5, 'min_samples_split': 5, 'min_samples_leaf': 2}",,,,,,MAE validacao,4135.527082240807,sales_profit,Random Forest
"{'n_estimators': 300, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_split': 2, 'min_samples_leaf': 1}",,,,,,MAE validacao,4137.862681348135,sales_profit,Random Forest
"{'n_estimators': 600, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 1}",,,,,,MAE validacao,4142.072690267416,sales_profit,Random Forest
"{'n_estimators': 300, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 1}",,,,,,MAE validacao,4145.803292098532,sales_profit,Random Forest
"{'n_estimators': 300, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 2, 'min_samples_leaf': 1}",,,,,,MAE validacao,4147.796270958491,sales_profit,Random Forest
"{'n_estimators': 600, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_split': 2, 'min_samples_leaf': 2}",,,,,,MAE validacao,4156.509292171189,sales_profit,Random Forest
"{'n_estimators': 300, 'max_depth': 12, 'max_features': 0.5, 'min_samples_split': 5, 'min_samples_leaf': 1}",,,,,,MAE validacao,4165.907513334162,sales_profit,Random Forest
"{'n_estimators': 600, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 2, 'min_samples_leaf': 1}",,,,,,MAE validacao,4166.707167912807,sales_profit,Random Forest
"{'n_estimators': 600, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 2}",,,,,,MAE validacao,4167.466695694459,sales_profit,Random Forest
"{'n_estimators': 600, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 2}",,,,,,MAE validacao,4168.541555008613,sales_profit,Random Forest
"{'n_estimators': 600, 'max_depth': 6, 'max_features': 0.5, 'min_samples_split': 2, 'min_samples_leaf': 2}",,,,,,MAE validacao,4169.9938848205165,sales_profit,Random Forest
"{'n_estimators': 300, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 2}",,,,,,MAE validacao,4172.569277802742,sales_profit,Random Forest
