Date,target_open,close_lag_1,volume_lag_1
2017-10-24,78.9,78.83,20627173
2017-10-25,78.58,78.86,17517182
2017-10-26,79.2,78.63,20410808
2017-10-27,84.37,78.76,32120717
2017-10-30,83.7,83.81,71066729
2017-10-31,84.36,83.89,31756653
2017-11-01,83.68,83.18,27086575
2017-11-02,83.35,83.18,22307371
2017-11-03,84.08,84.05,23992945
2017-11-06,84.2,84.14,17633543
2017-11-07,84.77,84.47,19860852
2017-11-08,84.14,84.27,17939727
2017-11-09,84.11,84.56,18034170
2017-11-10,83.79,84.09,21178356
2017-11-13,83.66,83.87,19397793
2017-11-14,83.5,83.93,14196896
2017-11-15,83.47,84.05,18801280
2017-11-16,83.1,82.98,19383102
2017-11-17,83.12,83.2,20962750
2017-11-20,82.4,82.4,22078993
2017-11-21,82.74,82.53,16314978
2017-11-22,83.83,83.72,21237454
2017-11-24,83.01,83.11,20553089
2017-11-27,83.31,83.26,7425603
2017-11-28,84.07,83.87,18265242
2017-11-29,84.71,84.88,21925959
2017-11-30,83.51,83.34,27381109
2017-12-01,83.6,84.17,33054647
2017-12-04,84.42,84.26,29532132
2017-12-05,81.34,81.08,39094880
2017-12-06,81.55,81.59,26152261
2017-12-07,82.54,82.78,26162054
2017-12-08,83.63,82.49,23184547
2017-12-11,84.29,84.16,24489106
2017-12-12,85.31,85.23,22857854
2017-12-13,85.74,85.58,23924105
2017-12-14,85.43,85.35,22062679
2017-12-15,85.26,84.69,19305961
2017-12-18,87.12,86.85,53936687
2017-12-19,86.35,86.38,22283752
2017-12-20,86.2,85.83,23524787
2017-12-21,86.05,85.52,23674931
2017-12-22,85.4,85.5,17990745
2017-12-26,85.31,85.51,14145841
2017-12-27,85.65,85.4,9891237
2017-12-28,85.9,85.71,14678025
2017-12-29,85.63,85.72,10594344
2018-01-02,86.13,85.54,18717406
2018-01-03,86.06,85.95,22483797
2018-01-04,86.59,86.35,26061439
2018-01-05,87.66,87.11,21911974
2018-01-08,88.2,88.19,23407110
2018-01-09,88.65,88.28,22113049
2018-01-10,87.86,88.22,19484317
2018-01-11,88.13,87.82,18652201
2018-01-12,88.67,88.08,17808877
2018-01-16,90.1,89.6,24271531
2018-01-17,89.08,88.35,36599736
2018-01-18,89.8,90.14,25621164
2018-01-19,90.14,90.1,24159683
2018-01-22,90.0,90.0,36875013
2018-01-23,91.9,91.61,23601555
2018-01-24,92.55,91.9,23412841
2018-01-25,92.47,91.82,33277483
2018-01-26,93.12,92.33,26383238
2018-01-29,95.14,94.06,29172167
2018-01-30,93.3,93.92,31569940
2018-01-31,93.75,92.74,38635053
2018-02-01,94.79,95.01,48756338
